scene,query_room,query_image,pred_room,pred_scene,reference_image,correct,global_score,patch_score,object_score,total_score,fine_matches
apartment_0,kitchen,datasets/ReplicaReID/apartment_0/kitchen/rgb/0.png,kitchen,apartment_0,datasets/ReplicaReID/apartment_0/kitchen/ref/rgb/0.png,1,0.8713086843490601,0.7269294857978821,0.8103909492492676,2.4086291193962097,98
apartment_0,kitchen,datasets/ReplicaReID/apartment_0/kitchen/rgb/1.png,kitchen,apartment_0,datasets/ReplicaReID/apartment_0/kitchen/ref/rgb/0.png,1,0.8192161321640015,0.6171241402626038,0.7749166488647461,2.2112569212913513,41
apartment_0,kitchen,datasets/ReplicaReID/apartment_0/kitchen/rgb/10.png,kitchen,apartment_0,datasets/ReplicaReID/apartment_0/kitchen/ref/rgb/0.png,1,0.8962298631668091,0.6826536655426025,0.8023993968963623,2.381282925605774,83
apartment_0,kitchen,datasets/ReplicaReID/apartment_0/kitchen/rgb/100.png,kitchen,apartment_0,datasets/ReplicaReID/apartment_0/kitchen/ref/rgb/0.png,1,0.8444692492485046,0.8549397587776184,0.9266549348831177,2.6260639429092407,58
apartment_0,kitchen,datasets/ReplicaReID/apartment_0/kitchen/rgb/101.png,kitchen,apartment_0,datasets/ReplicaReID/apartment_0/kitchen/ref/rgb/1.png,1,0.7945311069488525,0.4511248767375946,0.9419387578964233,2.1875947415828705,74
apartment_0,kitchen,datasets/ReplicaReID/apartment_0/kitchen/rgb/102.png,kitchen,apartment_0,datasets/ReplicaReID/apartment_0/kitchen/ref/rgb/0.png,1,0.9099372029304504,0.7144463062286377,0.8459110856056213,2.4702945947647095,154
apartment_0,kitchen,datasets/ReplicaReID/apartment_0/kitchen/rgb/103.png,kitchen,apartment_0,datasets/ReplicaReID/apartment_0/kitchen/ref/rgb/0.png,1,0.899707555770874,0.6774839162826538,0.7427226305007935,2.3199141025543213,92
apartment_0,kitchen,datasets/ReplicaReID/apartment_0/kitchen/rgb/104.png,kitchen,apartment_0,datasets/ReplicaReID/apartment_0/kitchen/ref/rgb/0.png,1,0.9035723209381104,0.687791109085083,0.6475744247436523,2.2389378547668457,175
apartment_0,kitchen,datasets/ReplicaReID/apartment_0/kitchen/rgb/105.png,kitchen,apartment_0,datasets/ReplicaReID/apartment_0/kitchen/ref/rgb/0.png,1,0.9146119952201843,0.7269448041915894,0.9395079612731934,2.581064760684967,261
apartment_0,kitchen,datasets/ReplicaReID/apartment_0/kitchen/rgb/106.png,kitchen,apartment_0,datasets/ReplicaReID/apartment_0/kitchen/ref/rgb/0.png,1,0.9354535341262817,0.7560911178588867,0.9466800689697266,2.638224720954895,264
apartment_0,kitchen,datasets/ReplicaReID/apartment_0/kitchen/rgb/107.png,kitchen,apartment_0,datasets/ReplicaReID/apartment_0/kitchen/ref/rgb/0.png,1,0.9320271611213684,0.7297840118408203,0.9376409649848938,2.5994521379470825,232
apartment_0,kitchen,datasets/ReplicaReID/apartment_0/kitchen/rgb/108.png,kitchen,apartment_0,datasets/ReplicaReID/apartment_0/kitchen/ref/rgb/0.png,1,0.9148992300033569,0.7560334205627441,0.879083514213562,2.550016164779663,270
apartment_0,kitchen,datasets/ReplicaReID/apartment_0/kitchen/rgb/109.png,kitchen,apartment_0,datasets/ReplicaReID/apartment_0/kitchen/ref/rgb/0.png,1,0.9042600989341736,0.6439005136489868,0.8644901514053345,2.412650763988495,386
apartment_0,kitchen,datasets/ReplicaReID/apartment_0/kitchen/rgb/11.png,kitchen,apartment_0,datasets/ReplicaReID/apartment_0/kitchen/ref/rgb/0.png,1,0.8366329073905945,0.32578936219215393,0.8855188488960266,2.047941118478775,76
apartment_0,kitchen,datasets/ReplicaReID/apartment_0/kitchen/rgb/110.png,kitchen,apartment_0,datasets/ReplicaReID/apartment_0/kitchen/ref/rgb/0.png,1,0.8923468589782715,0.7253894209861755,0.6034508943557739,2.221187174320221,156
apartment_0,kitchen,datasets/ReplicaReID/apartment_0/kitchen/rgb/111.png,kitchen,apartment_0,datasets/ReplicaReID/apartment_0/kitchen/ref/rgb/1.png,1,0.8442550897598267,0.4860888123512268,0.8512929677963257,2.181636869907379,21
apartment_0,kitchen,datasets/ReplicaReID/apartment_0/kitchen/rgb/112.png,kitchen,apartment_0,datasets/ReplicaReID/apartment_0/kitchen/ref/rgb/0.png,1,0.8538199067115784,0.8196508884429932,0.8117055892944336,2.485176384449005,87
apartment_0,kitchen,datasets/ReplicaReID/apartment_0/kitchen/rgb/113.png,kitchen,apartment_0,datasets/ReplicaReID/apartment_0/kitchen/ref/rgb/0.png,1,0.9467546343803406,0.9162368774414062,0.8771443367004395,2.7401358485221863,188
apartment_0,kitchen,datasets/ReplicaReID/apartment_0/kitchen/rgb/114.png,kitchen,apartment_0,datasets/ReplicaReID/apartment_0/kitchen/ref/rgb/0.png,1,0.8328491449356079,0.7088537216186523,0.8112449645996094,2.3529478311538696,202
apartment_0,kitchen,datasets/ReplicaReID/apartment_0/kitchen/rgb/115.png,kitchen,apartment_0,datasets/ReplicaReID/apartment_0/kitchen/ref/rgb/0.png,1,0.9361560344696045,0.7316317558288574,0.9322656989097595,2.6000534892082214,145
apartment_0,kitchen,datasets/ReplicaReID/apartment_0/kitchen/rgb/116.png,kitchen,apartment_0,datasets/ReplicaReID/apartment_0/kitchen/ref/rgb/2.png,1,0.8751031756401062,0.6971331238746643,0.8312116265296936,2.403447926044464,271
